protocol_type,src_ip,dst_ip,sport,dport,tcp_flags,packet_size,ttl,service,flag,duration,flow_duration,packet_rate,packet_count,byte_count,avg_packet_size,syn_count,ack_count,fin_count,rst_count,prediction
tcp,172.24.245.120,192.168.0.1,2426,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2427,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2428,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2429,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2430,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2431,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2432,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2433,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2434,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2435,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2436,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2437,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2438,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2439,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2440,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2441,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2442,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2443,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2444,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2445,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2446,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2447,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2448,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2449,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2450,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2451,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2452,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2453,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2454,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2455,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2456,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2457,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,2458,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
